#{"t_start": 1783261337.3796625, "env_id": "FetchReach-v3"}
r,l,t,is_success
-50.0,50,6.158119,0.0
-50.0,50,6.234552,0.0
-50.0,50,6.315963,0.0
-50.0,50,6.396431,0.0
-50.0,50,6.488157,0.0
-50.0,50,6.566297,0.0
-48.0,50,6.643882,0.0
-50.0,50,6.723223,0.0
-47.0,50,6.807519,0.0
-50.0,50,6.891856,0.0
-50.0,50,6.972557,0.0
-50.0,50,7.052791,0.0
-50.0,50,7.135977,0.0
-50.0,50,7.214854,0.0
-46.0,50,7.294887,0.0
-50.0,50,7.37296,0.0
-50.0,50,7.457777,0.0
-48.0,50,7.53529,0.0
-50.0,50,7.613013,0.0
-50.0,50,7.695019,0.0
-50.0,50,9.096445,0.0
-50.0,50,9.625733,0.0
-50.0,50,10.155012,0.0
-50.0,50,10.683501,0.0
-47.0,50,11.247122,0.0
-50.0,50,11.780882,0.0
-50.0,50,12.307328,0.0
-48.0,50,12.834235,0.0
-50.0,50,13.379993,0.0
-50.0,50,13.907398,0.0
-35.0,50,14.438738,0.0
-50.0,50,14.965009,0.0
-50.0,50,15.507101,0.0
-50.0,50,16.025579,0.0
-50.0,50,16.537656,0.0
-50.0,50,17.057702,0.0
-50.0,50,17.583503,0.0
-49.0,50,18.098421,0.0
-50.0,50,18.627506,0.0
-50.0,50,19.155345,0.0
-50.0,50,21.801294,0.0
-50.0,50,22.327758,0.0
-39.0,50,22.854524,0.0
-50.0,50,23.379692,0.0
-41.0,50,23.92406,0.0
-50.0,50,24.449394,0.0
-50.0,50,24.977474,0.0
-50.0,50,25.506379,0.0
-50.0,50,26.050189,0.0
-50.0,50,26.580948,0.0
-50.0,50,27.112655,0.0
-50.0,50,27.644897,0.0
-50.0,50,28.193088,0.0
-46.0,50,28.71916,0.0
-50.0,50,29.247297,0.0
-50.0,50,29.781896,0.0
-50.0,50,30.327685,0.0
-50.0,50,30.859192,0.0
-50.0,50,31.388751,0.0
-50.0,50,31.917939,0.0
-50.0,50,32.470754,0.0
-49.0,50,32.999902,0.0
-50.0,50,33.531806,0.0
-50.0,50,34.06197,0.0
-50.0,50,34.603236,0.0
-50.0,50,35.134296,0.0
-50.0,50,35.665766,0.0
-49.0,50,36.200172,0.0
-50.0,50,36.743598,0.0
-50.0,50,37.265469,0.0
-46.0,50,37.797774,0.0
-49.0,50,38.332974,0.0
-50.0,50,38.884487,0.0
-48.0,50,39.415006,0.0
-45.0,50,39.940119,0.0
-50.0,50,40.470188,0.0
-50.0,50,41.00879,0.0
-47.0,50,41.544356,0.0
-50.0,50,42.077155,0.0
-48.0,50,42.606892,0.0
-44.0,50,45.370859,0.0
-42.0,50,45.903938,0.0
-50.0,50,46.437365,0.0
-40.0,50,46.966904,0.0
-50.0,50,47.523062,0.0
-45.0,50,48.058407,0.0
-50.0,50,48.600043,0.0
-46.0,50,49.131492,0.0
-50.0,50,49.675186,0.0
-41.0,50,50.208858,0.0
-27.0,50,50.731875,0.0
-33.0,50,51.255128,1.0
-35.0,50,51.794104,0.0
-48.0,50,52.320513,0.0
-50.0,50,52.854816,0.0
-47.0,50,53.384029,0.0
-43.0,50,53.921095,0.0
-50.0,50,54.445224,0.0
-42.0,50,54.969686,1.0
-20.0,50,55.504252,1.0
-44.0,50,56.042201,1.0
-30.0,50,56.567783,1.0
-34.0,50,57.094474,0.0
-44.0,50,57.623679,1.0
-17.0,50,58.167418,1.0
-34.0,50,58.698075,0.0
-17.0,50,59.224214,1.0
-26.0,50,59.751198,1.0
-13.0,50,60.299683,0.0
-19.0,50,60.822834,1.0
-35.0,50,61.35703,0.0
-35.0,50,61.891084,0.0
