#{"t_start": 1786138932.0855699, "env_id": "FetchReach-v3"}
r,l,t,is_success
-42.0,50,6.29778,0.0
-50.0,50,6.375295,0.0
-50.0,50,6.454219,0.0
-50.0,50,6.538799,0.0
-50.0,50,6.624443,0.0
-50.0,50,6.702884,0.0
-50.0,50,6.780095,0.0
-50.0,50,6.854864,0.0
-50.0,50,6.942636,0.0
-50.0,50,7.022309,0.0
-47.0,50,7.100268,0.0
-50.0,50,7.181745,0.0
-50.0,50,7.268712,0.0
-50.0,50,7.348964,0.0
-50.0,50,7.427992,0.0
-50.0,50,7.509541,0.0
-50.0,50,7.596296,0.0
-50.0,50,7.67447,0.0
-50.0,50,7.75128,0.0
-50.0,50,7.829024,0.0
-50.0,50,9.255276,0.0
-50.0,50,9.974317,0.0
-50.0,50,10.692952,0.0
-50.0,50,11.378205,0.0
-50.0,50,12.101993,0.0
-46.0,50,12.827505,0.0
-50.0,50,13.532005,0.0
-50.0,50,14.20491,0.0
-50.0,50,14.924842,0.0
-43.0,50,15.629791,0.0
-50.0,50,16.329091,0.0
-50.0,50,17.027327,0.0
-50.0,50,17.767301,0.0
-50.0,50,18.463886,0.0
-50.0,50,19.163303,0.0
-49.0,50,19.842115,0.0
-50.0,50,20.559629,0.0
-50.0,50,21.239599,0.0
-50.0,50,21.909825,0.0
-50.0,50,22.629066,0.0
-48.0,50,25.553997,0.0
-50.0,50,26.239264,0.0
-50.0,50,26.946954,0.0
-50.0,50,27.643362,0.0
-45.0,50,28.396021,0.0
-50.0,50,29.096222,0.0
-50.0,50,29.84346,0.0
-50.0,50,30.56897,0.0
-40.0,50,31.317179,0.0
-50.0,50,32.006253,0.0
-50.0,50,32.705945,0.0
-50.0,50,33.408376,0.0
-46.0,50,34.125179,0.0
-50.0,50,34.819634,0.0
-50.0,50,35.511027,0.0
-50.0,50,36.194417,0.0
-50.0,50,36.915086,0.0
-47.0,50,37.618127,0.0
-48.0,50,38.319084,0.0
-50.0,50,39.03563,0.0
-50.0,50,39.727011,0.0
-42.0,50,40.43769,1.0
-50.0,50,41.140315,0.0
-45.0,50,41.841998,0.0
-50.0,50,42.555476,0.0
-46.0,50,43.284574,0.0
-50.0,50,43.98669,0.0
-50.0,50,44.716012,0.0
-50.0,50,45.436313,0.0
-48.0,50,46.154104,1.0
-45.0,50,46.852925,0.0
-47.0,50,47.556752,0.0
-39.0,50,48.303031,1.0
-50.0,50,49.013846,0.0
-46.0,50,49.694414,0.0
-50.0,50,50.390445,0.0
-50.0,50,51.119984,0.0
-50.0,50,51.83173,0.0
-46.0,50,52.540488,0.0
-22.0,50,53.265757,0.0
-43.0,50,56.382683,0.0
-45.0,50,57.092594,0.0
-50.0,50,57.753228,0.0
-30.0,50,58.467031,0.0
-35.0,50,59.190616,0.0
-44.0,50,59.889645,0.0
-36.0,50,60.601292,0.0
-36.0,50,61.317626,0.0
-50.0,50,62.019822,0.0
-43.0,50,62.72699,0.0
-19.0,50,63.420704,1.0
-48.0,50,64.150045,0.0
-41.0,50,64.874667,0.0
-42.0,50,65.551302,0.0
-28.0,50,66.258285,1.0
-44.0,50,66.959061,0.0
-41.0,50,67.653775,0.0
-25.0,50,68.371104,0.0
-33.0,50,69.092869,1.0
-40.0,50,69.778091,1.0
-36.0,50,70.483834,1.0
-25.0,50,71.177095,1.0
-21.0,50,71.895435,1.0
-19.0,50,72.57636,1.0
-37.0,50,73.301069,0.0
-41.0,50,74.005549,0.0
-16.0,50,74.707933,0.0
-36.0,50,75.390819,0.0
-13.0,50,76.142843,1.0
-38.0,50,76.831123,1.0
-29.0,50,77.534577,0.0
-28.0,50,78.241384,0.0
-15.0,50,78.975017,0.0
-38.0,50,79.627461,0.0
-47.0,50,80.315676,0.0
-33.0,50,81.027802,0.0
-22.0,50,81.727967,1.0
-28.0,50,82.409119,0.0
-23.0,50,83.109781,1.0
-29.0,50,83.778442,0.0
-4.0,50,86.89179,1.0
-17.0,50,87.569075,1.0
-25.0,50,88.292669,1.0
-28.0,50,89.007362,0.0
-2.0,50,89.719668,1.0
-34.0,50,90.368771,0.0
-10.0,50,91.087709,1.0
-3.0,50,91.777904,1.0
-36.0,50,92.502809,1.0
-18.0,50,93.21269,1.0
-26.0,50,93.901242,1.0
-7.0,50,94.620724,1.0
-22.0,50,95.322704,1.0
-34.0,50,96.025162,0.0
-22.0,50,96.752593,1.0
-20.0,50,97.434309,0.0
-25.0,50,98.155352,1.0
-6.0,50,98.865828,1.0
-25.0,50,99.568125,1.0
-10.0,50,100.250251,1.0
-18.0,50,100.96912,0.0
-17.0,50,101.660484,1.0
-5.0,50,102.365496,1.0
-12.0,50,103.038869,1.0
-13.0,50,103.765231,1.0
-24.0,50,104.462924,0.0
-17.0,50,105.149032,0.0
-3.0,50,105.846496,1.0
-22.0,50,106.594149,0.0
-7.0,50,107.278042,1.0
-4.0,50,107.992213,1.0
-10.0,50,108.708607,1.0
-15.0,50,109.404583,1.0
-24.0,50,110.116376,0.0
-22.0,50,110.835025,0.0
-9.0,50,111.569318,0.0
-18.0,50,112.283559,1.0
-10.0,50,112.988322,1.0
-19.0,50,113.664693,0.0
-19.0,50,114.403541,1.0
-16.0,50,117.415943,0.0
-18.0,50,118.11899,1.0
