#{"t_start": 1786138768.976762, "env_id": "FetchReach-v3"}
r,l,t,is_success
-46.0,50,5.319072,0.0
-50.0,50,5.39483,0.0
-50.0,50,5.474461,0.0
-50.0,50,5.555014,0.0
-50.0,50,5.636278,0.0
-50.0,50,5.713432,0.0
-50.0,50,5.794754,0.0
-50.0,50,5.874896,0.0
-50.0,50,5.95946,0.0
-50.0,50,6.034534,0.0
-50.0,50,6.111573,0.0
-50.0,50,6.186939,0.0
-50.0,50,6.27056,0.0
-50.0,50,6.346815,0.0
-50.0,50,6.42482,0.0
-50.0,50,6.503915,0.0
-50.0,50,6.58597,0.0
-50.0,50,6.662773,0.0
-50.0,50,6.739397,0.0
-50.0,50,6.815513,0.0
-48.0,50,8.000594,0.0
-50.0,50,8.497153,0.0
-50.0,50,9.009783,0.0
-44.0,50,9.531373,0.0
-47.0,50,10.048569,0.0
-50.0,50,10.552892,0.0
-50.0,50,11.05643,0.0
-50.0,50,11.559705,0.0
-50.0,50,12.073458,0.0
-50.0,50,12.735897,0.0
-50.0,50,13.245133,0.0
-50.0,50,13.738907,0.0
-50.0,50,14.246795,0.0
-50.0,50,14.74714,0.0
-50.0,50,15.251007,0.0
-50.0,50,15.745839,0.0
-50.0,50,16.248796,0.0
-50.0,50,16.750786,0.0
-48.0,50,17.253597,0.0
-50.0,50,17.758326,0.0
-50.0,50,20.317631,0.0
-50.0,50,20.808026,0.0
-49.0,50,21.314583,0.0
-50.0,50,21.801594,0.0
-50.0,50,22.302497,0.0
-50.0,50,22.803806,0.0
-50.0,50,23.300383,0.0
-50.0,50,23.794621,0.0
-50.0,50,24.31595,0.0
-50.0,50,24.80799,0.0
-35.0,50,25.305933,0.0
-48.0,50,25.809014,0.0
-50.0,50,26.323469,0.0
-50.0,50,26.822096,0.0
-50.0,50,27.33084,0.0
-45.0,50,27.829039,0.0
-47.0,50,28.348091,0.0
-50.0,50,28.834275,0.0
-50.0,50,29.332437,0.0
-50.0,50,29.83761,0.0
-50.0,50,30.338005,0.0
-50.0,50,30.833084,0.0
-50.0,50,31.322007,0.0
-46.0,50,31.81005,0.0
-50.0,50,32.320041,0.0
-50.0,50,32.815746,0.0
-50.0,50,33.329142,0.0
-50.0,50,33.846584,0.0
-50.0,50,34.367983,0.0
-50.0,50,34.872126,0.0
-50.0,50,35.379283,0.0
-50.0,50,35.876194,0.0
-50.0,50,36.383495,0.0
-50.0,50,36.882722,0.0
-50.0,50,37.380465,0.0
-50.0,50,37.874553,0.0
-50.0,50,38.388365,0.0
-47.0,50,38.894074,0.0
-50.0,50,39.39404,0.0
-50.0,50,39.886062,0.0
-50.0,50,42.469979,0.0
-50.0,50,42.958288,0.0
-50.0,50,43.451362,0.0
-50.0,50,43.947612,0.0
-50.0,50,44.463787,0.0
-50.0,50,44.971779,0.0
-50.0,50,45.473057,0.0
-50.0,50,45.978815,0.0
-50.0,50,46.485137,0.0
-50.0,50,46.982548,0.0
-50.0,50,47.477478,0.0
-45.0,50,47.983642,0.0
-50.0,50,48.505767,0.0
-50.0,50,49.011194,0.0
-50.0,50,49.517744,0.0
-50.0,50,50.018445,0.0
-50.0,50,50.530763,0.0
-47.0,50,51.029631,0.0
-50.0,50,51.537873,0.0
-50.0,50,52.054003,0.0
-50.0,50,52.57369,0.0
-50.0,50,53.081582,0.0
-50.0,50,53.595542,0.0
-50.0,50,54.092303,0.0
-50.0,50,54.602904,0.0
-50.0,50,55.103246,0.0
-50.0,50,55.625592,0.0
-50.0,50,56.13475,0.0
-50.0,50,56.655495,0.0
-50.0,50,57.169458,0.0
-50.0,50,57.672935,0.0
-50.0,50,58.167762,0.0
-50.0,50,58.677215,0.0
-50.0,50,59.192377,0.0
-50.0,50,59.712892,0.0
-50.0,50,60.246677,0.0
-47.0,50,60.778063,0.0
-48.0,50,61.288607,0.0
-50.0,50,61.797823,0.0
-50.0,50,62.317697,0.0
-50.0,50,65.191823,0.0
-50.0,50,65.687221,0.0
-50.0,50,66.201618,0.0
-50.0,50,66.712415,0.0
-50.0,50,67.236414,0.0
-47.0,50,67.738659,0.0
-50.0,50,68.239974,0.0
-50.0,50,68.763493,0.0
-50.0,50,69.284299,0.0
-50.0,50,69.794533,0.0
-50.0,50,70.317147,0.0
-50.0,50,70.830489,0.0
-50.0,50,71.366489,0.0
-50.0,50,71.909734,0.0
-50.0,50,72.434151,0.0
-50.0,50,72.940946,0.0
-50.0,50,73.458841,0.0
-50.0,50,73.971524,0.0
-50.0,50,74.482958,0.0
-50.0,50,74.992577,0.0
-50.0,50,75.520257,0.0
