#{"t_start": 1786203509.4052715, "env_id": "FetchPush-v3"}
r,l,t,is_success
-50.0,50,6.362366,0.0
-50.0,50,6.448229,0.0
-50.0,50,6.535642,0.0
-50.0,50,6.624192,0.0
-50.0,50,6.72538,0.0
-50.0,50,6.814959,0.0
-50.0,50,6.905545,0.0
-50.0,50,6.992085,0.0
-50.0,50,7.086898,0.0
-50.0,50,7.180431,0.0
-50.0,50,7.272999,0.0
-50.0,50,7.365799,0.0
-50.0,50,7.459727,0.0
-50.0,50,7.549389,0.0
-50.0,50,7.635053,0.0
-50.0,50,7.72363,0.0
-50.0,50,7.8187,0.0
-50.0,50,7.909445,0.0
-50.0,50,8.002597,0.0
0.0,50,8.087909,1.0
0.0,50,8.850247,1.0
-50.0,50,9.391185,0.0
-50.0,50,9.93147,0.0
-50.0,50,10.473035,0.0
-50.0,50,11.025036,0.0
-50.0,50,11.559368,0.0
-50.0,50,12.098495,0.0
-50.0,50,12.647904,0.0
-50.0,50,13.208889,0.0
-50.0,50,13.756892,0.0
-50.0,50,14.289089,0.0
-50.0,50,14.83837,0.0
-50.0,50,15.409392,0.0
-50.0,50,15.946435,0.0
-50.0,50,16.483405,0.0
-50.0,50,17.017189,0.0
-50.0,50,17.562639,0.0
-50.0,50,18.098899,0.0
-50.0,50,18.639124,0.0
-50.0,50,19.182475,0.0
-50.0,50,19.726204,0.0
-32.0,50,20.261454,0.0
-50.0,50,20.800236,0.0
-50.0,50,21.332279,0.0
-50.0,50,21.895391,0.0
-50.0,50,22.438002,0.0
-50.0,50,22.980549,0.0
-50.0,50,23.528439,0.0
-50.0,50,24.090481,0.0
-50.0,50,24.631675,0.0
-50.0,50,25.16998,0.0
-50.0,50,25.713167,0.0
-50.0,50,26.268768,0.0
-50.0,50,26.80585,0.0
-50.0,50,27.34933,0.0
-50.0,50,27.889615,0.0
-50.0,50,28.45456,0.0
-50.0,50,28.994968,0.0
-50.0,50,29.531462,0.0
-50.0,50,30.075455,0.0
-50.0,50,30.636832,0.0
-50.0,50,31.171301,0.0
-50.0,50,31.705041,0.0
-50.0,50,32.249662,0.0
-50.0,50,32.808788,0.0
-50.0,50,33.356465,0.0
-50.0,50,33.905055,0.0
-50.0,50,34.440965,0.0
-50.0,50,34.999199,0.0
0.0,50,35.550269,1.0
0.0,50,36.096152,1.0
-50.0,50,36.650488,0.0
-50.0,50,37.223004,0.0
-50.0,50,37.792857,0.0
0.0,50,38.356276,1.0
0.0,50,38.91438,1.0
-50.0,50,39.4834,0.0
-50.0,50,40.039352,0.0
-50.0,50,40.59425,0.0
-50.0,50,41.142061,0.0
-50.0,50,41.698276,0.0
-50.0,50,42.247281,0.0
-50.0,50,42.786124,0.0
-50.0,50,43.318282,0.0
-50.0,50,43.863355,0.0
-50.0,50,44.417629,0.0
-50.0,50,44.954864,0.0
-50.0,50,45.502033,0.0
-50.0,50,46.064059,0.0
-50.0,50,46.599654,0.0
-50.0,50,47.153944,0.0
-50.0,50,47.698536,0.0
-50.0,50,48.25221,0.0
-50.0,50,48.788288,0.0
-50.0,50,49.337286,0.0
-50.0,50,49.885707,0.0
-50.0,50,50.479793,0.0
-50.0,50,51.053469,0.0
-50.0,50,51.627356,0.0
-50.0,50,52.206516,0.0
0.0,50,52.808794,1.0
-50.0,50,53.376809,0.0
-50.0,50,53.96019,0.0
-50.0,50,54.540069,0.0
-50.0,50,55.122297,0.0
-50.0,50,55.680247,0.0
-50.0,50,56.216031,0.0
-50.0,50,56.751556,0.0
-50.0,50,57.301625,0.0
-50.0,50,57.840087,0.0
-50.0,50,58.390338,0.0
-50.0,50,58.925391,0.0
-50.0,50,59.475096,0.0
-45.0,50,60.009265,0.0
-50.0,50,60.542444,0.0
-50.0,50,61.075029,0.0
-50.0,50,61.631946,0.0
-50.0,50,62.167378,0.0
-50.0,50,62.704327,0.0
-50.0,50,63.240359,0.0
0.0,50,63.797972,1.0
-50.0,50,64.343446,0.0
-50.0,50,64.877342,0.0
-50.0,50,65.425065,0.0
0.0,50,65.98618,1.0
-50.0,50,66.518737,0.0
-50.0,50,67.056305,0.0
-50.0,50,67.590267,0.0
-50.0,50,68.142352,0.0
-50.0,50,68.676856,0.0
-3.0,50,69.209633,1.0
-50.0,50,69.741252,0.0
-50.0,50,70.295317,0.0
-50.0,50,70.828571,0.0
-50.0,50,71.361481,0.0
-50.0,50,71.895874,0.0
-50.0,50,72.440887,0.0
-50.0,50,72.973531,0.0
-50.0,50,73.505356,0.0
0.0,50,74.039423,1.0
-50.0,50,74.58415,0.0
-50.0,50,75.116714,0.0
-50.0,50,75.649007,0.0
-50.0,50,76.184175,0.0
-50.0,50,76.735075,0.0
-50.0,50,77.269176,0.0
-50.0,50,77.805675,0.0
-50.0,50,78.347028,0.0
-50.0,50,78.899849,0.0
-50.0,50,79.435936,0.0
-50.0,50,79.965752,0.0
-50.0,50,80.498279,0.0
-50.0,50,81.050111,0.0
-50.0,50,81.584044,0.0
-50.0,50,82.117155,0.0
0.0,50,82.647528,1.0
-50.0,50,83.192856,0.0
-50.0,50,83.723245,0.0
-50.0,50,84.2545,0.0
-50.0,50,84.786075,0.0
0.0,50,85.339376,1.0
-50.0,50,85.875445,0.0
-50.0,50,86.410522,0.0
-50.0,50,86.943086,0.0
-50.0,50,87.497877,0.0
-50.0,50,88.032156,0.0
-50.0,50,88.569047,0.0
-50.0,50,89.10306,0.0
-50.0,50,89.652764,0.0
-50.0,50,90.18669,0.0
-50.0,50,90.723513,0.0
-50.0,50,91.257654,0.0
-50.0,50,91.801258,0.0
-50.0,50,92.331612,0.0
-50.0,50,92.862926,0.0
-50.0,50,93.396665,0.0
-50.0,50,93.950719,0.0
-50.0,50,94.485785,0.0
-50.0,50,95.022564,0.0
-50.0,50,95.559535,0.0
-50.0,50,96.10775,0.0
-50.0,50,96.64136,0.0
-50.0,50,97.17906,0.0
-50.0,50,97.713865,0.0
-50.0,50,98.262732,0.0
0.0,50,98.790766,1.0
-50.0,50,99.320819,0.0
-50.0,50,99.856421,0.0
-50.0,50,100.400762,0.0
-50.0,50,100.938495,0.0
-50.0,50,101.473961,0.0
-50.0,50,102.012931,0.0
-50.0,50,102.56302,0.0
-50.0,50,103.099223,0.0
-50.0,50,103.633069,0.0
-50.0,50,104.165072,0.0
-50.0,50,104.716909,0.0
-50.0,50,105.25477,0.0
-50.0,50,105.798833,0.0
-50.0,50,106.339854,0.0
-50.0,50,109.185654,0.0
-50.0,50,109.718708,0.0
0.0,50,110.257701,1.0
-50.0,50,110.786655,0.0
-50.0,50,111.331537,0.0
-50.0,50,111.878526,0.0
-50.0,50,112.415731,0.0
-50.0,50,112.960202,0.0
-50.0,50,113.509683,0.0
-50.0,50,114.036485,0.0
-50.0,50,114.563893,0.0
-50.0,50,115.092329,0.0
-50.0,50,115.646917,0.0
0.0,50,116.187691,1.0
-50.0,50,116.717659,0.0
-50.0,50,117.250737,0.0
-50.0,50,117.831884,0.0
-50.0,50,118.377069,0.0
-50.0,50,118.914699,0.0
0.0,50,119.45314,1.0
-50.0,50,120.001413,0.0
-50.0,50,120.541827,0.0
-50.0,50,121.068827,0.0
-50.0,50,121.596992,0.0
-50.0,50,122.138079,0.0
-50.0,50,122.671107,0.0
-50.0,50,123.208924,0.0
-50.0,50,123.751876,0.0
-50.0,50,124.297305,0.0
-50.0,50,124.834889,0.0
-50.0,50,125.363633,0.0
-50.0,50,125.896234,0.0
-50.0,50,126.463852,0.0
-50.0,50,126.997785,0.0
0.0,50,127.53236,1.0
0.0,50,128.069169,1.0
-50.0,50,128.617946,0.0
-50.0,50,129.15029,0.0
-50.0,50,129.685701,0.0
-50.0,50,130.221862,0.0
-50.0,50,130.767009,0.0
-50.0,50,131.29915,0.0
-50.0,50,131.836883,0.0
-50.0,50,132.374044,0.0
-48.0,50,132.925886,0.0
-50.0,50,133.46402,0.0
-50.0,50,133.998952,0.0
0.0,50,134.537657,1.0
-50.0,50,135.085286,0.0
-50.0,50,135.625893,0.0
-50.0,50,136.159381,0.0
-50.0,50,136.694023,0.0
-50.0,50,137.24084,0.0
-50.0,50,137.779137,0.0
-50.0,50,138.306244,0.0
-50.0,50,138.8492,0.0
-50.0,50,139.395757,0.0
-50.0,50,139.930945,0.0
-50.0,50,140.462379,0.0
-50.0,50,141.002743,0.0
-50.0,50,141.552729,0.0
-50.0,50,142.094964,0.0
-50.0,50,142.623254,0.0
-50.0,50,143.153759,0.0
0.0,50,143.69834,1.0
-50.0,50,144.238078,0.0
-50.0,50,144.765965,0.0
-50.0,50,145.294302,0.0
-50.0,50,145.836988,0.0
-50.0,50,146.364214,0.0
-50.0,50,146.897098,0.0
-50.0,50,147.432452,0.0
-50.0,50,147.986011,0.0
-50.0,50,148.520848,0.0
-50.0,50,149.061932,0.0
-50.0,50,149.594811,0.0
-50.0,50,150.155407,0.0
-50.0,50,150.692803,0.0
-50.0,50,151.231839,0.0
-50.0,50,151.772807,0.0
-50.0,50,152.327636,0.0
-50.0,50,152.869234,0.0
-50.0,50,153.414361,0.0
-50.0,50,153.959918,0.0
-50.0,50,154.514832,0.0
-50.0,50,155.06072,0.0
-50.0,50,155.595858,0.0
-50.0,50,156.133902,0.0
-50.0,50,156.683189,0.0
-50.0,50,157.220378,0.0
-50.0,50,157.756332,0.0
-50.0,50,158.303054,0.0
-50.0,50,158.855045,0.0
-50.0,50,159.391511,0.0
-50.0,50,159.927821,0.0
-50.0,50,160.472937,0.0
-50.0,50,161.031051,0.0
-50.0,50,161.566158,0.0
-50.0,50,162.107097,0.0
-50.0,50,162.666797,0.0
-50.0,50,163.227271,0.0
-50.0,50,163.76965,0.0
0.0,50,164.308734,1.0
-50.0,50,164.850391,0.0
-50.0,50,165.398554,0.0
-50.0,50,165.936319,0.0
-50.0,50,166.482881,0.0
-50.0,50,167.035923,0.0
0.0,50,167.586348,1.0
-50.0,50,168.127488,0.0
-50.0,50,168.670941,0.0
-50.0,50,169.211164,0.0
-50.0,50,169.773919,0.0
-50.0,50,170.313254,0.0
-50.0,50,170.844078,0.0
-50.0,50,171.395237,0.0
-50.0,50,171.96006,0.0
-50.0,50,172.513748,0.0
-50.0,50,173.072339,0.0
-50.0,50,173.625514,0.0
-50.0,50,174.18779,0.0
-50.0,50,174.736626,0.0
-50.0,50,175.286614,0.0
-50.0,50,175.844259,0.0
-50.0,50,176.405831,0.0
-50.0,50,176.956299,0.0
-50.0,50,177.502078,0.0
-50.0,50,178.061704,0.0
-50.0,50,178.622346,0.0
-50.0,50,179.164963,0.0
-50.0,50,179.698714,0.0
-50.0,50,180.2412,0.0
-50.0,50,180.800778,0.0
-50.0,50,181.349676,0.0
-50.0,50,181.896342,0.0
-50.0,50,182.455232,0.0
-50.0,50,183.025241,0.0
-50.0,50,183.571667,0.0
-50.0,50,184.117943,0.0
-50.0,50,184.668985,0.0
-50.0,50,185.228936,0.0
-50.0,50,185.766806,0.0
-50.0,50,186.310003,0.0
0.0,50,186.846813,1.0
-50.0,50,187.395808,0.0
-50.0,50,187.932568,0.0
-50.0,50,188.46627,0.0
-50.0,50,189.001992,0.0
-50.0,50,189.550311,0.0
-50.0,50,190.086265,0.0
-50.0,50,190.627893,0.0
-50.0,50,191.167324,0.0
-50.0,50,191.725946,0.0
-50.0,50,192.266798,0.0
-50.0,50,192.859515,0.0
-50.0,50,193.392529,0.0
-50.0,50,193.944519,0.0
-50.0,50,194.478913,0.0
-50.0,50,195.012887,0.0
-50.0,50,195.546334,0.0
-50.0,50,196.091577,0.0
-50.0,50,196.633919,0.0
-50.0,50,197.167068,0.0
-50.0,50,197.698274,0.0
-50.0,50,198.255894,0.0
0.0,50,198.79185,1.0
-50.0,50,199.328689,0.0
-50.0,50,199.863711,0.0
-50.0,50,200.417988,0.0
-50.0,50,200.960092,0.0
-50.0,50,201.501592,0.0
-50.0,50,202.041915,0.0
-50.0,50,202.591778,0.0
-50.0,50,203.192941,0.0
-50.0,50,203.738725,0.0
-50.0,50,204.284083,0.0
-50.0,50,204.846751,0.0
-50.0,50,205.386322,0.0
-50.0,50,205.926258,0.0
-50.0,50,206.460652,0.0
-50.0,50,207.017632,0.0
-50.0,50,207.561091,0.0
-50.0,50,208.101881,0.0
-50.0,50,208.639851,0.0
-50.0,50,209.187385,0.0
-50.0,50,209.72482,0.0
-50.0,50,210.264213,0.0
-50.0,50,210.801619,0.0
-50.0,50,211.357314,0.0
-50.0,50,211.896998,0.0
-50.0,50,212.441927,0.0
-50.0,50,212.984847,0.0
-50.0,50,213.547949,0.0
-50.0,50,214.099048,0.0
-50.0,50,214.638569,0.0
-50.0,50,215.179892,0.0
-50.0,50,215.737103,0.0
-50.0,50,216.28235,0.0
-50.0,50,216.825377,0.0
-50.0,50,217.366317,0.0
-50.0,50,220.225864,0.0
-50.0,50,220.764986,0.0
-50.0,50,221.304565,0.0
-50.0,50,221.844779,0.0
-50.0,50,222.39739,0.0
0.0,50,222.939433,1.0
-50.0,50,223.486277,0.0
-50.0,50,224.031998,0.0
-50.0,50,224.593735,0.0
-50.0,50,225.12996,0.0
-50.0,50,225.662007,0.0
-50.0,50,226.196501,0.0
-50.0,50,226.76047,0.0
-50.0,50,227.29996,0.0
-50.0,50,227.838862,0.0
0.0,50,228.377695,1.0
-50.0,50,228.927783,0.0
0.0,50,229.460514,1.0
-50.0,50,229.999811,0.0
-50.0,50,230.536767,0.0
-50.0,50,231.094281,0.0
-50.0,50,231.628575,0.0
-50.0,50,232.165938,0.0
-50.0,50,232.706286,0.0
-50.0,50,233.260619,0.0
-50.0,50,233.80344,0.0
-50.0,50,234.33707,0.0
-50.0,50,234.876638,0.0
-50.0,50,235.429512,0.0
-50.0,50,235.969406,0.0
-50.0,50,236.511924,0.0
-50.0,50,237.046925,0.0
-50.0,50,237.604347,0.0
-50.0,50,238.14541,0.0
0.0,50,238.685861,1.0
-50.0,50,239.22887,0.0
-50.0,50,239.776355,0.0
-50.0,50,240.318552,0.0
-50.0,50,240.855169,0.0
-50.0,50,241.389012,0.0
-50.0,50,241.950507,0.0
-50.0,50,242.489879,0.0
-50.0,50,243.031896,0.0
0.0,50,243.567497,1.0
0.0,50,244.125708,1.0
-50.0,50,244.66087,0.0
0.0,50,245.197805,1.0
-50.0,50,245.728916,0.0
0.0,50,246.276702,1.0
-50.0,50,246.81267,0.0
-50.0,50,247.349786,0.0
-50.0,50,247.886085,0.0
-50.0,50,248.437134,0.0
0.0,50,248.97944,1.0
-50.0,50,249.519272,0.0
-50.0,50,250.052649,0.0
-50.0,50,250.600384,0.0
-50.0,50,251.137501,0.0
-50.0,50,251.670778,0.0
-50.0,50,252.202945,0.0
-50.0,50,252.748702,0.0
-50.0,50,253.284707,0.0
-50.0,50,253.817674,0.0
-50.0,50,254.358786,0.0
-50.0,50,254.915784,0.0
-50.0,50,255.452521,0.0
-50.0,50,255.988431,0.0
-50.0,50,256.535806,0.0
0.0,50,257.089489,1.0
-50.0,50,257.623545,0.0
-50.0,50,258.156016,0.0
-50.0,50,258.694197,0.0
-50.0,50,259.245269,0.0
-50.0,50,259.790499,0.0
-50.0,50,260.326727,0.0
-50.0,50,260.857859,0.0
-50.0,50,261.408619,0.0
-50.0,50,261.946872,0.0
-50.0,50,262.496001,0.0
-50.0,50,263.030573,0.0
-50.0,50,263.586227,0.0
-50.0,50,264.135878,0.0
-50.0,50,264.679724,0.0
-50.0,50,265.212254,0.0
-50.0,50,265.768863,0.0
-50.0,50,266.314599,0.0
-50.0,50,266.850518,0.0
-50.0,50,267.38796,0.0
-50.0,50,267.93879,0.0
-50.0,50,268.475754,0.0
-50.0,50,269.015067,0.0
-50.0,50,269.552252,0.0
-50.0,50,270.111957,0.0
-50.0,50,270.658073,0.0
-50.0,50,271.198813,0.0
-50.0,50,271.751593,0.0
-50.0,50,272.331351,0.0
-50.0,50,272.879026,0.0
-50.0,50,273.424521,0.0
-50.0,50,273.975592,0.0
-50.0,50,274.543893,0.0
-50.0,50,275.083818,0.0
-50.0,50,275.625602,0.0
-50.0,50,276.170557,0.0
-50.0,50,276.730088,0.0
-50.0,50,277.276597,0.0
-50.0,50,277.81953,0.0
0.0,50,278.36189,1.0
-50.0,50,278.921927,0.0
-50.0,50,279.465604,0.0
-50.0,50,280.003214,0.0
-50.0,50,280.539557,0.0
-50.0,50,281.092658,0.0
-50.0,50,281.633167,0.0
-50.0,50,282.178115,0.0
-50.0,50,282.722851,0.0
-50.0,50,283.28646,0.0
-50.0,50,283.827247,0.0
-50.0,50,284.369331,0.0
-50.0,50,284.915678,0.0
-50.0,50,285.478397,0.0
-50.0,50,286.023287,0.0
0.0,50,286.565481,1.0
-50.0,50,287.105703,0.0
-50.0,50,287.667616,0.0
-50.0,50,288.219371,0.0
-50.0,50,288.767099,0.0
-50.0,50,289.3188,0.0
-50.0,50,289.888177,0.0
-50.0,50,290.436867,0.0
-50.0,50,290.981539,0.0
-50.0,50,291.529261,0.0
-50.0,50,292.096554,0.0
-50.0,50,292.644201,0.0
-50.0,50,293.192336,0.0
-50.0,50,293.748291,0.0
-50.0,50,294.31794,0.0
-50.0,50,294.864926,0.0
-50.0,50,295.410153,0.0
-50.0,50,295.955365,0.0
-50.0,50,296.511798,0.0
-50.0,50,297.059067,0.0
-50.0,50,297.605639,0.0
-50.0,50,298.153929,0.0
-50.0,50,298.728727,0.0
-50.0,50,299.283062,0.0
-50.0,50,299.828322,0.0
-50.0,50,300.375773,0.0
-50.0,50,300.937577,0.0
-50.0,50,301.48156,0.0
-50.0,50,302.02503,0.0
-50.0,50,302.570302,0.0
0.0,50,303.127012,1.0
-50.0,50,303.67289,0.0
-50.0,50,304.214532,0.0
-50.0,50,304.745764,0.0
-50.0,50,305.29054,0.0
-50.0,50,305.828996,0.0
-50.0,50,306.363922,0.0
-50.0,50,306.900054,0.0
-50.0,50,307.450456,0.0
-50.0,50,307.993408,0.0
-50.0,50,308.559549,0.0
-50.0,50,309.150723,0.0
-50.0,50,309.741524,0.0
-50.0,50,310.312432,0.0
-50.0,50,310.89033,0.0
-50.0,50,311.456385,0.0
-50.0,50,312.083905,0.0
-50.0,50,312.67737,0.0
-50.0,50,313.259135,0.0
-50.0,50,313.829751,0.0
-50.0,50,314.416743,0.0
-50.0,50,314.976869,0.0
-50.0,50,315.538096,0.0
-50.0,50,316.089845,0.0
-50.0,50,316.668531,0.0
-50.0,50,317.220902,0.0
-50.0,50,317.766342,0.0
-50.0,50,318.325745,0.0
-50.0,50,318.89999,0.0
-50.0,50,319.461895,0.0
-50.0,50,320.025646,0.0
-50.0,50,320.579779,0.0
-50.0,50,321.141093,0.0
-50.0,50,321.693579,0.0
-50.0,50,322.238564,0.0
-50.0,50,322.789389,0.0
-50.0,50,323.365304,0.0
-50.0,50,323.931233,0.0
-50.0,50,324.489793,0.0
-50.0,50,325.040435,0.0
-50.0,50,325.611355,0.0
-50.0,50,326.175833,0.0
-50.0,50,326.731007,0.0
0.0,50,327.28366,1.0
-50.0,50,327.849427,0.0
-50.0,50,328.401364,0.0
-50.0,50,328.961088,0.0
-50.0,50,329.52225,0.0
-50.0,50,332.450632,0.0
-50.0,50,333.023056,0.0
-50.0,50,333.586021,0.0
-50.0,50,334.133754,0.0
-50.0,50,334.699017,0.0
-50.0,50,335.253254,0.0
-50.0,50,335.815318,0.0
-50.0,50,336.364719,0.0
-50.0,50,336.933634,0.0
-50.0,50,337.487723,0.0
-50.0,50,338.039165,0.0
0.0,50,338.586698,1.0
-50.0,50,339.144515,0.0
-50.0,50,339.683948,0.0
-50.0,50,340.224236,0.0
-50.0,50,340.767213,0.0
-50.0,50,341.333087,0.0
-50.0,50,341.880689,0.0
-50.0,50,342.432808,0.0
-50.0,50,342.98287,0.0
-50.0,50,343.555996,0.0
-50.0,50,344.097498,0.0
0.0,50,344.638735,1.0
-50.0,50,345.186438,0.0
-50.0,50,345.753987,0.0
-50.0,50,346.3082,0.0
-50.0,50,346.867996,0.0
-50.0,50,347.426985,0.0
-50.0,50,347.992812,0.0
-50.0,50,348.54388,0.0
-50.0,50,349.093032,0.0
-50.0,50,349.641818,0.0
-50.0,50,350.203024,0.0
-50.0,50,350.746829,0.0
-50.0,50,351.293073,0.0
-50.0,50,351.842701,0.0
-50.0,50,352.410489,0.0
-50.0,50,352.952856,0.0
-50.0,50,353.495329,0.0
-50.0,50,354.036948,0.0
-50.0,50,354.600936,0.0
-50.0,50,355.147878,0.0
-50.0,50,355.697138,0.0
-50.0,50,356.247672,0.0
-50.0,50,356.811036,0.0
-50.0,50,357.354586,0.0
-50.0,50,357.906384,0.0
-50.0,50,358.456464,0.0
-50.0,50,359.011682,0.0
-50.0,50,359.559615,0.0
-50.0,50,360.101833,0.0
-50.0,50,360.651952,0.0
-50.0,50,361.217413,0.0
-50.0,50,361.761151,0.0
-50.0,50,362.300595,0.0
-50.0,50,362.840058,0.0
-50.0,50,363.420746,0.0
-50.0,50,363.972632,0.0
-50.0,50,364.514869,0.0
-50.0,50,365.059406,0.0
-50.0,50,365.620428,0.0
-50.0,50,366.159185,0.0
-50.0,50,366.695386,0.0
-50.0,50,367.235828,0.0
-50.0,50,367.786685,0.0
-50.0,50,368.327585,0.0
-50.0,50,368.878684,0.0
-50.0,50,369.430081,0.0
-50.0,50,370.0182,0.0
-50.0,50,370.567636,0.0
-50.0,50,371.099979,0.0
-50.0,50,371.633146,0.0
-50.0,50,372.181556,0.0
-50.0,50,372.715456,0.0
-50.0,50,373.248975,0.0
-50.0,50,373.784424,0.0
-50.0,50,374.333546,0.0
-50.0,50,374.86989,0.0
-50.0,50,375.408386,0.0
-50.0,50,375.948694,0.0
-50.0,50,376.508758,0.0
-50.0,50,377.055059,0.0
-50.0,50,377.597181,0.0
0.0,50,378.133021,1.0
-50.0,50,378.69304,0.0
-50.0,50,379.230631,0.0
-50.0,50,379.771792,0.0
-50.0,50,380.317329,0.0
-50.0,50,380.87595,0.0
-50.0,50,381.419154,0.0
-50.0,50,381.961794,0.0
-50.0,50,382.506852,0.0
-50.0,50,383.081872,0.0
-50.0,50,383.633806,0.0
-50.0,50,384.179771,0.0
0.0,50,384.724624,1.0
-50.0,50,385.282199,0.0
-50.0,50,385.824881,0.0
-50.0,50,386.370763,0.0
-50.0,50,386.917701,0.0
0.0,50,387.47725,1.0
-50.0,50,388.048057,0.0
-50.0,50,388.642987,0.0
-50.0,50,389.226641,0.0
-50.0,50,389.831014,0.0
-50.0,50,390.414693,0.0
-50.0,50,390.997306,0.0
-50.0,50,391.570825,0.0
-50.0,50,392.161913,0.0
-50.0,50,392.726972,0.0
-50.0,50,393.282921,0.0
0.0,50,393.835078,1.0
-50.0,50,394.381698,0.0
-50.0,50,394.916723,0.0
-50.0,50,395.453747,0.0
-50.0,50,395.992372,0.0
-50.0,50,396.540179,0.0
-50.0,50,397.087682,0.0
-50.0,50,397.624383,0.0
-50.0,50,398.161551,0.0
-50.0,50,398.722922,0.0
-50.0,50,399.254889,0.0
-50.0,50,399.787639,0.0
-50.0,50,400.336659,0.0
0.0,50,400.898419,1.0
-50.0,50,401.429155,0.0
-50.0,50,401.976045,0.0
-50.0,50,402.513008,0.0
-50.0,50,403.058869,0.0
0.0,50,403.591566,1.0
-50.0,50,404.141419,0.0
-50.0,50,404.671747,0.0
-50.0,50,405.241553,0.0
-50.0,50,405.775029,0.0
-50.0,50,406.322911,0.0
-50.0,50,406.857884,0.0
-50.0,50,407.407934,0.0
-50.0,50,407.942137,0.0
-50.0,50,408.475109,0.0
-50.0,50,409.006072,0.0
-50.0,50,409.550223,0.0
-50.0,50,410.083999,0.0
-50.0,50,410.613411,0.0
-50.0,50,411.142383,0.0
-50.0,50,411.684,0.0
-50.0,50,412.234627,0.0
-50.0,50,412.762601,0.0
-50.0,50,413.29408,0.0
-50.0,50,413.842016,0.0
-50.0,50,414.373951,0.0
-50.0,50,414.905122,0.0
-50.0,50,415.436873,0.0
-50.0,50,415.990145,0.0
-50.0,50,416.521631,0.0
-50.0,50,417.054667,0.0
-50.0,50,417.587168,0.0
-50.0,50,418.134754,0.0
-50.0,50,418.667057,0.0
-50.0,50,419.200441,0.0
-50.0,50,419.732627,0.0
-50.0,50,420.278508,0.0
-50.0,50,420.814158,0.0
0.0,50,421.344098,1.0
-50.0,50,421.873966,0.0
0.0,50,422.414985,1.0
-50.0,50,422.945066,0.0
-50.0,50,423.475644,0.0
-50.0,50,424.015833,0.0
-50.0,50,424.563825,0.0
-50.0,50,425.093646,0.0
-50.0,50,425.624645,0.0
-50.0,50,426.165257,0.0
-50.0,50,426.710211,0.0
-50.0,50,427.248,0.0
-50.0,50,427.779361,0.0
-50.0,50,428.311578,0.0
-50.0,50,428.854501,0.0
-50.0,50,429.38503,0.0
-50.0,50,429.916644,0.0
-50.0,50,430.449278,0.0
-50.0,50,430.992877,0.0
-50.0,50,431.522932,0.0
-50.0,50,432.053031,0.0
-50.0,50,432.591434,0.0
-50.0,50,433.164526,0.0
-50.0,50,433.705678,0.0
-50.0,50,434.236933,0.0
-50.0,50,434.767624,0.0
-50.0,50,435.32353,0.0
-50.0,50,435.854591,0.0
0.0,50,436.384625,1.0
-50.0,50,436.916384,0.0
-50.0,50,437.459658,0.0
-50.0,50,437.999971,0.0
-50.0,50,438.542713,0.0
-50.0,50,439.081608,0.0
0.0,50,439.628035,1.0
0.0,50,440.160409,1.0
-50.0,50,440.698442,0.0
-50.0,50,441.238899,0.0
0.0,50,444.066978,1.0
-50.0,50,444.607079,0.0
-50.0,50,445.142322,0.0
-50.0,50,445.690171,0.0
-50.0,50,446.25672,0.0
-50.0,50,446.7898,0.0
-50.0,50,447.32349,0.0
-50.0,50,447.862292,0.0
0.0,50,448.421716,1.0
-50.0,50,448.954564,0.0
-50.0,50,449.489709,0.0
-50.0,50,450.023803,0.0
-50.0,50,450.569654,0.0
-50.0,50,451.110056,0.0
-50.0,50,451.650589,0.0
-50.0,50,452.192652,0.0
-50.0,50,452.737124,0.0
-50.0,50,453.272175,0.0
-50.0,50,453.817301,0.0
-50.0,50,454.360639,0.0
-50.0,50,454.931266,0.0
-50.0,50,455.472638,0.0
-50.0,50,456.013438,0.0
-50.0,50,456.55203,0.0
-50.0,50,457.118888,0.0
-50.0,50,457.661724,0.0
-50.0,50,458.202611,0.0
-50.0,50,458.738731,0.0
-50.0,50,459.292193,0.0
0.0,50,459.827419,1.0
-50.0,50,460.371864,0.0
-50.0,50,460.912536,0.0
-50.0,50,461.471548,0.0
-50.0,50,462.009862,0.0
-50.0,50,462.549699,0.0
-50.0,50,463.09368,0.0
-50.0,50,463.651402,0.0
-50.0,50,464.192259,0.0
-50.0,50,464.725967,0.0
-50.0,50,465.266575,0.0
-50.0,50,465.816649,0.0
-50.0,50,466.356817,0.0
-50.0,50,466.898104,0.0
-50.0,50,467.43373,0.0
0.0,50,467.988574,1.0
-50.0,50,468.521965,0.0
-50.0,50,469.052469,0.0
0.0,50,469.583607,1.0
-50.0,50,470.132816,0.0
-50.0,50,470.666883,0.0
-50.0,50,471.199854,0.0
-50.0,50,471.737395,0.0
0.0,50,472.283994,1.0
-50.0,50,472.814469,0.0
